id cx cy cz
419 0.749984 0.364924 0
420 0.275002 0.58142 0
421 0.774838 0.321699 0
422 0.324833 0.0165909 0
423 0.375 0.465951 0
424 0.5 0.27833 0
425 0.300002 0.336048 0
426 0.325 0.581421 0
427 0.774981 0.379357 0
428 0.174883 0.639037 0
429 0.799619 0.33622 0
430 0.250003 0.624721 0
431 0.474995 0.321617 0
432 0.625 0.725759 0
433 0.77499 0.408216 0
434 0.4 0.53812 0
435 0.677155 0.146898 0
436 0.674999 0.292758 0
437 0.275009 0.321619 0
438 0.575 0.321616 0
439 0.7 0.53812 0
440 0.225158 0.581319 0
441 0.877088 0.380283 0
442 0.225009 0.379354 0
443 0.300002 0.278314 0
444 0.128098 0.578446 0
445 0.798778 0.278892 0
446 0.575 0.725759 0
447 0.675 0.494819 0
448 0.27501 0.235017 0
449 0.370186 0.120162 0
450 0.250064 0.509229 0
451 0.3 0.364915 0
452 0.575 0.754626 0
453 0.825031 0.379575 0
454 0.425 0.725759 0
455 0.725 0.581421 0
456 0.849615 0.365187 0
457 0.325 0.408216 0
458 0.426256 0.0150108 0
459 0.125628 0.11625 0
460 0.420597 0.149161 0
461 0.449995 0.336051 0
462 0.699985 0.769057 0
463 0.624999 0.841229 0
464 0.425 0.812361 0
465 0.824731 0.55247 0
466 0.474995 0.292752 0
467 0.200582 0.537794 0
468 0.525 0.408216 0
469 0.970539 0.399076 0
470 0.749863 0.278394 0
471 0.275011 0.292752 0
472 0.985044 0.424181 0
473 0.475 0.754626 0
474 0.200051 0.163315 0
475 0.985495 0.374895 0
476 0.475 0.581421 0
477 0.626766 0.205067 0
478 0.65 0.711325 0
479 0.799753 0.365015 0
480 0.499891 0.249544 0
481 0.985376 0.325172 0
482 0.475 0.552554 0
483 0.970871 0.350067 0
484 0.5 0.53812 0
485 0.5 0.624722 0
486 0.425 0.754626 0
487 0.625 0.292769 0
488 0.151021 0.594905 0
489 0.425 0.465951 0
490 0.0144338 0.675 0
491 0.873534 0.494015 0
492 0.446 0.163919 0
493 0.299999 0.682457 0
494 0.449966 0.278336 0
495 0.774724 0.292898 0
496 0.425 0.841229 0
497 0.849061 0.508789 0
498 0.45 0.797927 0
499 0.37255 0.149095 0
500 0.699998 0.278323 0
501 0.274997 0.725757 0
502 0.749912 0.797904 0
503 0.45 0.855662 0
504 0.275026 0.494811 0
505 0.725 0.552554 0
506 0.848468 0.336663 0
507 0.7 0.509252 0
508 0.55 0.682457 0
509 0.45 0.711325 0
510 0.6 0.682457 0
511 0.849 0.537683 0
512 0.474741 0.235184 0
513 0.398212 0.163108 0
514 0.5 0.509252 0
515 0.3 0.595855 0
516 0.899314 0.943584 0
517 0.325001 0.292748 0
518 0.5 0.595855 0
519 0.449822 0.249555 0
520 0.249952 0.7979 0
521 0.375 0.639156 0
522 0.823749 0.322256 0
523 0.200016 0.364924 0
524 0.983569 0.27318 0
525 0.0143247 0.625524 0
526 0.424779 0.235141 0
527 0.968946 0.298352 0
528 0.6 0.711325 0
529 0.127763 0.493955 0
530 0.35 0.42265 0
531 0.424699 0.206319 0
532 0.700238 0.191344 0
533 0.0287584 0.650524 0
534 0.325 0.379349 0
535 0.575 0.668024 0
536 0.75 0.711325 0
537 0.775 0.581421 0
538 0.475 0.725759 0
539 0.75 0.595855 0
540 0.200019 0.422647 0
541 0.674993 0.812362 0
542 0.475 0.408216 0
543 0.448553 0.192368 0
544 0.475 0.639156 0
545 0.4 0.711325 0
546 0.525 0.379348 0
547 0.525 0.552554 0
548 0.6 0.53812 0
549 0.675 0.985566 0
550 0.625 0.668024 0
551 0.225237 0.206311 0
552 0.473553 0.20682 0
553 0.525 0.494819 0
554 0.45 0.364915 0
555 0.525 0.581421 0
556 0.5 0.682457 0
557 0.0128987 0.575274 0
558 0.525 0.639156 0
559 0.525 0.812361 0
560 0.55 0.711325 0
561 0.55 0.797927 0
562 0.725 0.639156 0
563 0.274975 0.812347 0
564 0.625 0.985566 0
565 0.5 0.711325 0
566 0.799853 0.538047 0
567 0.250015 0.336056 0
568 0.575 0.985566 0
569 0.525 0.668024 0
570 0.375 0.668024 0
571 0.475 0.379348 0
572 0.275027 0.465944 0
573 0.45 0.76906 0
574 0.625 0.639156 0
575 0.5 0.336047 0
576 0.525 0.292761 0
577 0.4 0.682457 0
578 0.45 0.42265 0
579 0.275001 0.379349 0
580 0.475 0.812361 0
581 0.45 0.595855 0
582 0.176155 0.5518 0
583 0.0157635 0.727059 0
584 0.475 0.494819 0
585 0.824855 0.581399 0
586 0.75 0.624722 0
587 0.4 0.451517 0
588 0.649999 0.27834 0
589 0.55 0.76906 0
590 0.45 0.682457 0
591 0.0301972 0.702059 0
592 0.55 0.42265 0
593 0.724621 0.148231 0
594 0.774977 0.552542 0
595 0.525 0.754626 0
596 0.0272234 0.600798 0
597 0.122762 0.40945 0
598 0.575 0.292759 0
599 0.5 0.76906 0
600 0.399759 0.191818 0
601 0.749977 0.538108 0
602 0.475 0.841229 0
603 0.45 0.624722 0
604 0.525 0.725759 0
605 0.349998 0.797926 0
606 0.55 0.595855 0
607 0.498984 0.190131 0
608 0.573654 0.0717511 0
609 0.475 0.668024 0
610 0.475 0.465951 0
611 0.575 0.639156 0
612 0.6 0.278343 0
613 0.35 0.451517 0
614 0.55 0.624722 0
615 0.824514 0.81322 0
616 0.425 0.668024 0
617 0.773644 0.235364 0
618 0.823022 0.293728 0
619 0.799721 0.768988 0
620 0.300001 0.451518 0
621 0.199811 0.76895 0
622 0.4 0.364915 0
623 0.275001 0.639156 0
624 0.224969 0.72574 0
625 0.5 0.364915 0
626 0.6 0.33605 0
627 0.250058 0.249479 0
628 0.65 0.971132 0
629 0.675 0.668024 0
630 0.174742 0.667894 0
631 0.6 0.855662 0
632 0.6 0.624722 0
633 0.174561 0.812165 0
634 0.795191 0.190907 0
635 0.399956 0.278339 0
636 0.200114 0.451486 0
637 0.65 0.682457 0
638 0.224988 0.668018 0
639 0.275 0.668023 0
640 0.774964 0.725738 0
641 0.6 0.971132 0
642 0.14969 0.365096 0
643 0.45 0.451517 0
644 0.87376 0.552336 0
645 0.8 0.595855 0
646 0.275001 0.408217 0
647 0.5 0.797927 0
648 0.55 0.451517 0
649 0.425 0.639156 0
650 0.35 0.336048 0
651 0.299988 0.797921 0
652 0.300001 0.42265 0
653 0.250007 0.364919 0
654 0.425 0.379348 0
655 0.525 0.321613 0
656 0.4 0.624722 0
657 0.3 0.624722 0
658 0.5 0.42265 0
659 0.600195 0.24942 0
660 0.7 0.624722 0
